device_id,name,description,serialNr,type,typeDisplayName,dnr_str,feeder,phase
1,D0029 SP1 L2,D0029 Borgartún 20 SP1 L2,1743-5394,JanitzaUMG96RME,UMG 96RM-E,D0029,SP1,L2
2,D0029 SP1 L1,D0029 Borgartún 20 SP1 L1,47002808,JanitzaUMG801,UMG 801,D0029,SP1,L1
3,D0029 SP1 L1 / D0029 Borgartún 20 SP1 L1,D0029 Borgartún 20 SP1 L1,47002808,JanitzaUMG801BaseModule,UMG801BaseModule,D0029,SP1,L1
4,D0029 SP1 L1 / D0029 Borgartún 20 SP1 L1 / Measurement Group 1,D0029 Borgartún 20 SP1 L1,47002808,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0029,SP1,L1
5,D0029 SP1 L1 / D0029 Borgartún 20 SP1 L1 / Measurement Group 2,D0029 Borgartún 20 SP1 L1,47002808,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0029,SP1,L1
6,D0029 SP1 L1 / D0029 Borgartún 20 SP1 L1 / Measurement Group 3,D0029 Borgartún 20 SP1 L1,47002808,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0029,SP1,L1
7,D0029 SP1 L1 / Mod1,,48006062,Janitza800-CT8-A,800-CT8-A,D0029,SP1,L1
8,D0029 SP1 L1 / Mod1 / Measurement Group 1,Mod. 1,48006062,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0029,SP1,L1
9,D0029 SP1 L1 / Mod1 / Measurement Group 2,Mod. 1,48006062,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0029,SP1,L1
10,D0411 SP1 L1,D0411 Grensásvegur 1 SP1 L1,47002319,JanitzaUMG801,UMG 801,D0411,SP1,L1
11,D0411 SP1 L1 / D0411 Grensásvegur 1 SP1 L1,D0411 Grensásvegur 1 SP1 L1,47002319,JanitzaUMG801BaseModule,UMG801BaseModule,D0411,SP1,L1
12,D0411 SP1 L1 / D0411 Grensásvegur 1 SP1 L1 / Measurement Group 1,D0411 Grensásvegur 1 SP1 L1,47002319,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0411,SP1,L1
13,D0411 SP1 L1 / D0411 Grensásvegur 1 SP1 L1 / Measurement Group 2,D0411 Grensásvegur 1 SP1 L1,47002319,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0411,SP1,L1
14,D0411 SP1 L1 / D0411 Grensásvegur 1 SP1 L1 / Measurement Group 3,D0411 Grensásvegur 1 SP1 L1,47002319,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0411,SP1,L1
15,D0411 SP1 L1 / Mod1,,48006052,Janitza800-CT8-A,800-CT8-A,D0411,SP1,L1
16,D0411 SP1 L1 / Mod1 / Measurement Group 1,Mod. 1,48006052,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0411,SP1,L1
17,D0411 SP1 L1 / Mod1 / Measurement Group 2,Mod. 1,48006052,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0411,SP1,L1
18,D0411 SP2 L1,D0411 Grensásvegur 1 SP2 L1,47002322,JanitzaUMG801,UMG 801,D0411,SP2,L1
19,D0411 SP2 L1 / D0411 Grensásvegur 1 SP2 L1,D0411 Grensásvegur 1 SP2 L1,47002322,JanitzaUMG801BaseModule,UMG801BaseModule,D0411,SP2,L1
20,D0411 SP2 L1 / D0411 Grensásvegur 1 SP2 L1 / Measurement Group 1,D0411 Grensásvegur 1 SP2 L1,47002322,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0411,SP2,L1
21,D0411 SP2 L1 / D0411 Grensásvegur 1 SP2 L1 / Measurement Group 2,D0411 Grensásvegur 1 SP2 L1,47002322,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0411,SP2,L1
22,D0411 SP2 L1 / D0411 Grensásvegur 1 SP2 L1 / Measurement Group 3,D0411 Grensásvegur 1 SP2 L1,47002322,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0411,SP2,L1
23,D0411 SP2 L1 / Mod 1,,48006055,Janitza800-CT8-A,800-CT8-A,D0411,SP2,L1
24,D0411 SP2 L1 / Mod 1 / Measurement Group 1,Module 800-CT8-A of UMG801,48006055,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0411,SP2,L1
25,D0411 SP2 L1 / Mod 1 / Measurement Group 2,Module 800-CT8-A of UMG801,48006055,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0411,SP2,L1
26,D0690 SP1 L1,D0690 Arnarsmári 28 SP1 L1,47002317,JanitzaUMG801,UMG 801,D0690,SP1,L1
27,D0690 SP2 L1,D0690 Arnarsmári 28 SP2 L1,47002323,JanitzaUMG801,UMG 801,D0690,SP2,L1
28,D0690 SP1 L1 / D0690 Arnarsmári 28 SP1 L1,D0690 Arnarsmári 28 SP1 L1,47002317,JanitzaUMG801BaseModule,UMG801BaseModule,D0690,SP1,L1
29,D0690 SP1 L1 / D0690 Arnarsmári 28 SP1 L1 / Measurement Group 1,D0690 Arnarsmári 28 SP1 L1,47002317,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0690,SP1,L1
30,D0690 SP1 L1 / D0690 Arnarsmári 28 SP1 L1 / Measurement Group 2,D0690 Arnarsmári 28 SP1 L1,47002317,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0690,SP1,L1
31,D0690 SP1 L1 / D0690 Arnarsmári 28 SP1 L1 / Measurement Group 3,D0690 Arnarsmári 28 SP1 L1,47002317,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0690,SP1,L1
32,D0690 SP1 L1 / Mod 1,,48006047,Janitza800-CT8-A,800-CT8-A,D0690,SP1,L1
33,D0690 SP1 L1 / Mod 1 / Measurement Group 1,Mod. 1,48006047,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0690,SP1,L1
34,D0690 SP1 L1 / Mod 1 / Measurement Group 2,Mod. 1,48006047,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0690,SP1,L1
35,D0690 SP2 L1 / D0690 Arnarsmári 28 SP2 L1,Basic Device of UMG801,47002323,JanitzaUMG801BaseModule,UMG801BaseModule,D0690,SP2,L1
36,D0690 SP2 L1 / D0690 Arnarsmári 28 SP2 L1 / Measurement Group 1,Basic Device of UMG801,47002323,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0690,SP2,L1
37,D0690 SP2 L1 / D0690 Arnarsmári 28 SP2 L1 / Measurement Group 2,Basic Device of UMG801,47002323,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0690,SP2,L1
38,D0690 SP2 L1 / D0690 Arnarsmári 28 SP2 L1 / Measurement Group 3,Basic Device of UMG801,47002323,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0690,SP2,L1
39,D0690 SP2 L1 / Module 1,Module 800-CT8-A of UMG801,48006057,Janitza800-CT8-A,800-CT8-A,D0690,SP2,L1
40,D0690 SP2 L1 / Module 1 / Measurement Group 1,Module 800-CT8-A of UMG801,48006057,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0690,SP2,L1
41,D0690 SP2 L1 / Module 1 / Measurement Group 2,Module 800-CT8-A of UMG801,48006057,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0690,SP2,L1
42,D0076 SP1 L1,D0076 Lækjargata 8 SP1 L1,7200-0373,JanitzaUMG605,UMG 605,D0076,SP1,L1
107,D0202 SP1 L1,D0202 Eyktarás 26 SP1 L1,47000710,JanitzaUMG801,UMG 801,D0202,SP1,L1
108,D0202 SP1 L1 / D0202 SP1 L1,D0202 Eyktarás 26 SP1 L1,47000710,JanitzaUMG801BaseModule,UMG801BaseModule,D0202,SP1,L1
109,D0202 SP1 L1 / Mod1,,48001646,Janitza800-CT8-A,800-CT8-A,D0202,SP1,L1
110,D0202 SP1 L1 / Mod2,,48001643,Janitza800-CT8-A,800-CT8-A,D0202,SP1,L1
111,D0202 SP1 L1 / D0202 SP1 L1 / Spennir,D0202 Eyktarás 26 SP1 L1,47000710,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0202,SP1,L1
112,D0202 SP1 L1 / Mod2 / LR04 GSK14484 Skápur við Kleifarás 13,Module 800-CT8-A of UMG801,48001643,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0202,SP1,L1
113,D0202 SP1 L1 / Mod3,,48001642,Janitza800-CT8-A,800-CT8-A,D0202,SP1,L1
114,D0202 SP1 L1 / D0202 SP1 L1 / LR01 GSK 14276 Skápur við Fylgisveg 9A,D0202 Eyktarás 26 SP1 L1,47000710,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0202,SP1,L1
115,D0202 SP1 L1 / Mod2 / LR05 GSK14501 Skápur við Lækjarás 13,Module 800-CT8-A of UMG801,48001643,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0202,SP1,L1
116,D0202 SP1 L1 / D0202 SP1 L1 / Hitamælingar,D0202 Eyktarás 26 SP1 L1,47000710,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0202,SP1,L1
117,D0202 SP1 L1 / Mod1 / LR02 Heimtaug Árbæjarlaug A,Module 800-CT8-A of UMG801,48001646,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0202,SP1,L1
118,D0202 SP1 L1 / Mod1 / LR03 Heimtaug Árbæjarlaug B,Module 800-CT8-A of UMG801,48001646,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0202,SP1,L1
119,D0202 SP1 L1 / Mod3 / LR06 GSK14480 Skápur við Deildarás 17,Module 800-CT8-A of UMG801,48001642,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0202,SP1,L1
120,D0202 SP1 L1 / Mod3 / Ónotað,Module 800-CT8-A of UMG801,48001642,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0202,SP1,L1
121,D0202 SP2 L1,D0202 Eyktarás 26 SP2 L1,47000732,JanitzaUMG801,UMG 801,D0202,SP2,L1
122,D0202 SP2 L1 / D0202 SP2 L1,D0202 Eyktarás 26 SP2 L1,47000732,JanitzaUMG801BaseModule,UMG801BaseModule,D0202,SP2,L1
123,D0202 SP2 L1 / Mod1,,48001645,Janitza800-CT8-A,800-CT8-A,D0202,SP2,L1
124,D0202 SP2 L1 / D0202 SP2 L1 / Spennir,D0202 Eyktarás 26 SP2 L1,47000732,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0202,SP2,L1
125,D0202 SP2 L1 / D0202 SP2 L1 / LR02 GSK14514 Skápur við Fjarðarás 25,D0202 Eyktarás 26 SP2 L1,47000732,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0202,SP2,L1
126,D0202 SP2 L1 / Mod2,,48001644,Janitza800-CT8-A,800-CT8-A,D0202,SP2,L1
127,D0202 SP2 L1 / D0202 SP2 L1 / Hitamælingar,D0202 Eyktarás 26 SP2 L1,47000732,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0202,SP2,L1
128,D0202 SP2 L1 / Mod1 / LR03 GSK14497 Skápur við Heiðarás 25,Module 800-CT8-A of UMG801,48001645,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0202,SP2,L1
129,D0202 SP2 L1 / Mod1 / LR04 GSK14486 Skápur við Selásbraut 48 / Dagheimili,Module 800-CT8-A of UMG801,48001645,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0202,SP2,L1
130,D0202 SP2 L1 / Mod2 / LR05 GSK14507 Skápur við Malarás 13,Module 800-CT8-A of UMG801,48001644,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0202,SP2,L1
131,D0202 SP2 L1 / Mod2 / LR06 GSK14479 Skápur við Eyktarás 21,Module 800-CT8-A of UMG801,48001644,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0202,SP2,L1
132,D0670 SP1 L1,D0670 Dyrhamrar 30 SP1 L1,7200-0320,JanitzaUMG605,UMG 605,D0670,SP1,L1
133,D0537 SP1 L1,D0537 Flúðasel 28 SP1 L1,7200-0322,JanitzaUMG605,UMG 605,D0537,SP1,L1
134,D0688 SP1 L1,D0688 Bústaðavegur 7 SP1 L1,7200-0321,JanitzaUMG605,UMG 605,D0688,SP1,L1
135,D0029 SP1,D0029 Borgartún 20 SP1,,XXXVirtual,VD,D0029,SP1,
144,D1484 SP1 L1,D1484 Björgun Víðinesvegur 22 SP1 L1,1734-8161,JanitzaUMG96RME,UMG 96RM-E,D1484,SP1,L1
145,D0074 SP1 L1,D0074 Tjarnargata 11 SP1 L1,1737-7850,JanitzaUMG96RME,UMG 96RM-E,D0074,SP1,L1
146,D0074 SP2 L1,D0074 Tjarnargata 11 SP2 L1,1743-3676,JanitzaUMG96RME,UMG 96RM-E,D0074,SP2,L1
147,D0841 SP1 L1,D0841 Þorláksgeisli 41A SP1 L1,47002312,JanitzaUMG801,UMG 801,D0841,SP1,L1
148,D0841 SP1 L1 / UMG801-4700-2312,,47002312,JanitzaUMG801BaseModule,UMG801BaseModule,D0841,SP1,L1
149,D0841 SP1 L1 / UMG801-4700-2312 / Measurement Group 1,Basic Device of UMG801,47002312,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0841,SP1,L1
150,D0841 SP1 L1 / UMG801-4700-2312 / Measurement Group 2,Basic Device of UMG801,47002312,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0841,SP1,L1
151,D0841 SP1 L1 / UMG801-4700-2312 / Measurement Group 3,Basic Device of UMG801,47002312,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0841,SP1,L1
152,D0841 SP1 L1 / Mod1,,48006053,Janitza800-CT8-A,800-CT8-A,D0841,SP1,L1
